alfaA 0.05 " absorption coefficient,"
alfaB 0.57 " absorption coefficient,"
alfaC 0.08 " absorption coefficient,"
alfaD 0.9 " absorption coefficient,"
alfaE 0.92 " absorption coefficient,"
deltaA 0.12 "diffuse reflection coefficient"
deltaB 0.21 "diffuse reflection coefficient"
deltaC 0.19 "diffuse reflection coefficient"
deltaD 0 "diffuse reflection coefficient"
deltaE 0 "diffuse reflection coefficient"
Fi 1380[W/m^2] "Solar flux"
FLX (Fi/(M*c_const)) ""
M 405.38[kg] "Sat Mass"
rho_zero 0 ""
rhoA 0 "specular reflection coefficient"
rhoB 0.22 "specular reflection coefficient"
rhoC 0.73 "specular reflection coefficient"
rhoD 0.1 "specular reflection coefficient"
rhoE 0.08 "specular reflection coefficient"
Sx -sin(teta) "Solar vector X"
Sy 0 "Solar vector Y"
Sz -cos(teta) "Solar vector Z"
teta 0[deg] "Azimut angle of source"
